
name	  gillius
health 	 150
speed	 11
running	22	4	2	1	1
type	  player
shadow	  0
gfxshadow 1
icon	  data/chars/gillius/icon.gif
diesound	data/chars/gillius/2heaven.wav
palette	data/chars/gillius/pal2.gif
weapons	gibear gibull gijag giele gihor gillius
COM A2 freespecial4

alternatepal	data/chars/gillius/testpal.gif
#remap	data/chars/gillius/idle1.gif	data/chars/gillius/alt1.gif
#remap	data/chars/gillius/idle1.gif	data/chars/gillius/alt2.gif



#done//
anim idle
	loop	1
	offset        65 89
	bbox 	23 11 41 91
	delay	18
	frame	data/chars/gillius/idle1.gif
	offset        65 88
	frame	data/chars/gillius/idle2.gif
	offset        66 91
	frame	data/chars/gillius/idle3.gif
	offset        65 88
	frame	data/chars/gillius/idle2.gif
	offset        65 89
	frame	data/chars/gillius/idle1.gif
	offset        65 88
	frame	data/chars/gillius/idle2.gif
	offset        66 91
	frame	data/chars/gillius/idle3.gif
	offset        65 88
	frame	data/chars/gillius/idle2.gif
	offset        65 89
	frame	data/chars/gillius/idle1.gif
	offset        65 88
	frame	data/chars/gillius/idle2.gif
	offset        66 91
	frame	data/chars/gillius/idle3.gif
	offset        65 88
	frame	data/chars/gillius/idle2.gif
	offset        65 89
	frame	data/chars/gillius/idle1.gif
	offset        54 83
	delay	20
	frame	data/chars/gillius/idle4.gif
	offset        46 100
	frame	data/chars/gillius/idle5.gif
	frame	data/chars/gillius/idle6.gif
	frame	data/chars/gillius/idle7.gif
	frame	data/chars/gillius/idle8.gif



	

#done//
anim walk
	loop	1
	offset  73 86
	bbox 	25 8 38 97
	delay	9
	frame	data/chars/gillius/walk1.gif
	offset  72 87
	frame	data/chars/gillius/walk2.gif
	offset  72 89
	frame	data/chars/gillius/walk3.gif
	offset  71 89
	frame	data/chars/gillius/walk4.gif
	offset  72 86
	frame	data/chars/gillius/walk5.gif
	offset  72 85
	frame	data/chars/gillius/walk6.gif


anim run
	loop	1
	delay	8
	offset	55 82
	bbox	65	30	33	65
#	sound	data/sounds/Run2.wav
	frame	data/chars/gillius/run1.gif
	offset	53 87
	frame	data/chars/gillius/run2.gif
	offset	53 88
	frame	data/chars/gillius/run3.gif
	offset	53 83
	frame	data/chars/gillius/run4.gif
	offset	55 91
	frame	data/chars/gillius/run5.gif
	offset	53 81
	frame	data/chars/gillius/run6.gif

anim runattack
	range	5 90
	loop	0
	delay	8
	move	10
	offset	65 124
              bbox       37 35 35 88
	sound	data/chars/gillius/go.wav
	frame	data/chars/gillius/3atk1.gif
	offset	40 125
	frame	data/chars/gillius/3atk2.gif
	offset	42 123
	frame	data/chars/gillius/3atk3.gif
              attack	51 2 146 122 25 1 0 0 20
	offset	42 123
	frame	data/chars/gillius/3atk4.gif
	offset	42 87
	frame	data/chars/gillius/3atk5.gif
	offset	50 73
	frame	data/chars/gillius/3atk6.gif
	offset	42 87
	frame	data/chars/gillius/3atk5.gif
	offset	42 123
	frame	data/chars/gillius/3atk4.gif
              attack	0 0 0 0 0


#done
anim get
	loop	0
	delay	10
	offset	79 62
	frame	data/chars/gillius/rise1.gif
	offset	62 72
	frame	data/chars/gillius/rise2.gif
	offset	79 62
	frame	data/chars/gillius/rise1.gif


#done//
#Punch
anim attack1
	cancel 2 3 0 a2 freespecial5
	range	5 50
	loop	0
	delay	7
	offset	42 86
	bbox	34 18 37 94
	sound	data/chars/ghost/sounds/punch5.wav
	frame	data/chars/gillius/atk1.gif
	offset	42 91
	frame	data/chars/gillius/atk2.gif
                  attack	70 7 75 58 10 0 0 0 10
	offset	42 86
	frame	data/chars/gillius/atk1.gif
        attack         0 0 0 0 0


