name		Dudley
health		200
speed		12
#mp		150
type		enemy
projectilehit	enemy obstacle
#icon		data/chars/Dudley/dudley.gif
makeinv		3
riseinv 	1 1
gfxshadow	1
#mprate		2
dust		dust
#Death		1
NoDieBlink	1
GrabBack	1
#onspawnscript	data/scripts/spawn/dudley.c
#animationscript data/scripts/Dudley.c
#script		data/scripts/main/Dudley.c
hostile Player NPC
candamage	Player NPC Obstacle

alternatepal	data/chars/Dudley/alt1
alternatepal	data/chars/Dudley/alt2
alternatepal	data/chars/Dudley/alt3
alternatepal	data/chars/Dudley/alt4
alternatepal	data/chars/Dudley/alt5

com	d u s freespecial
com	d u a freespecial2
com	f d s freespecial4
com	d f a freespecial7
com	d f s freespecial8

anim	select
	delay	7
	offset	76 142
	frame	data/chars/Dudley/taunt00.gif
	offset	52 135
	frame	data/chars/Dudley/taunt01.gif
	offset	57 138
	frame	data/chars/Dudley/taunt02.gif
	offset	75 126
	frame	data/chars/Dudley/taunt03.gif
	offset	56 111
	frame	data/chars/Dudley/taunt04.gif
	offset	50 107
	frame	data/chars/Dudley/taunt05.gif
	sound	data/chars/Dudley/taunt.wav
	offset	53 111
	frame	data/chars/Dudley/taunt06.gif
	offset	53 111
	frame	data/chars/Dudley/taunt07.gif
	offset	54 114
	frame	data/chars/Dudley/taunt08.gif
	offset	52 123
	frame	data/chars/Dudley/taunt09.gif
	offset	50 144
	frame	data/chars/Dudley/taunt10.gif
	offset	53 145
	frame	data/chars/Dudley/taunt11.gif
	offset	79 144
	frame	data/chars/Dudley/taunt12.gif
	offset	90 144
	frame	data/chars/Dudley/taunt13.gif
	offset	88 143
	frame	data/chars/Dudley/taunt14.gif
	offset	87 126
	frame	data/chars/Dudley/taunt15.gif
	offset	79 113
	frame	data/chars/Dudley/taunt16.gif
	offset	76 113
	frame	data/chars/Dudley/taunt17.gif
	offset	58 113
	frame	data/chars/Dudley/taunt18.gif
	offset	50 113
	frame	data/chars/Dudley/taunt19.gif
	offset	49 113
	frame	data/chars/Dudley/taunt20.gif
	frame	data/chars/Dudley/taunt21.gif

anim	idle
	#@cmd	select
	loop	1
	delay	8
	offset	48 105
	bbox	33 8 41 98
	frame	data/chars/Dudley/idle00.gif
	offset	50 104
	frame	data/chars/Dudley/idle01.gif
	offset	50 103
	frame	data/chars/Dudley/idle02.gif
	offset	51 102
	frame	data/chars/Dudley/idle03.gif
	offset	48 103
	frame	data/chars/Dudley/idle04.gif
	offset	48 102
	frame	data/chars/Dudley/idle05.gif
	offset	42 106
	bbox	21 4 43 99
	frame	data/chars/Dudley/idle06.gif
	offset	32 107
	bbox	11 3 36 106
	frame	data/chars/Dudley/idle07.gif
	offset	26 106
	frame	data/chars/Dudley/idle08.gif
	offset	27 104
	frame	data/chars/Dudley/idle09.gif
	offset	26 106
	frame	data/chars/Dudley/idle10.gif
	offset	25 108
	frame	data/chars/Dudley/idle11.gif
	offset	35 107
	bbox	18 6 37 103
	frame	data/chars/Dudley/idle12.gif
	offset	50 106
	bbox	30 3 41 104
	frame	data/chars/Dudley/idle13.gif
	offset	51 104
	frame	data/chars/Dudley/idle14.gif
	offset	25 108
	bbox	7 4 37 109
	frame	data/chars/Dudley/idle15.gif
	delay	15
	offset	25 107
	bbox	9 3 35 103
	frame	data/chars/Dudley/idt00.gif
	delay	10
	offset	19 116
	frame	data/chars/Dudley/idt01.gif
	offset	19 119
	frame	data/chars/Dudley/idt02.gif
	offset	19 116
	frame	data/chars/Dudley/idt01.gif
	offset	25 107
	frame	data/chars/Dudley/idt00.gif
	delay	6
	offset	26 105
	frame	data/chars/Dudley/idle16.gif
	offset	37 102
	bbox	21 3 41 99
	frame	data/chars/Dudley/idle17.gif
	offset	38 100
	frame	data/chars/Dudley/idle18.gif
	offset	37 102
	frame	data/chars/Dudley/idle19.gif

anim	walk
	loop	1
	delay	6
	offset	49 106
	bbox	28 6 42 104
	frame	data/chars/Dudley/walk00.gif
	offset	54 106
	frame	data/chars/Dudley/walk01.gif
	offset	59 108
	frame	data/chars/Dudley/walk02.gif
	offset	50 110
	frame	data/chars/Dudley/walk03.gif
	offset	39 112
	bbox	18 5 36 105
	frame	data/chars/Dudley/walk04.gif
	offset	29 115
	bbox	6 4 37 112
	frame	data/chars/Dudley/walk05.gif
	offset	27 116
	frame	data/chars/Dudley/walk06.gif
	offset	27 115
	frame	data/chars/Dudley/walk07.gif
	offset	27 112
	bbox	9 4 37 112
	frame	data/chars/Dudley/walk08.gif
	offset	27 110
	frame	data/chars/Dudley/walk09.gif
	offset	35 108
	bbox	19 4 39 104
	frame	data/chars/Dudley/walk10.gif
	offset	43 106
	bbox	21 3 40 108
	frame	data/chars/Dudley/walk11.gif

anim	get
	delay	6
	offset	45 102
	frame	data/chars/Dudley/get00.gif
	offset	46 87
	frame	data/chars/Dudley/get01.gif
	offset	47 70
	frame	data/chars/Dudley/get02.gif
	offset	46 87
	frame	data/chars/Dudley/get01.gif
	offset	45 102
	frame	data/chars/Dudley/get00.gif

anim	jumpdelay
	delay	5
	offset	41 87
	frame	data/chars/Dudley/jump00.gif

anim	jump
	delay	6
	offset	20 144
	bbox	12 28 30 121
	frame	data/chars/Dudley/jump01.gif
	offset	20 112
	bbox	10 9 36 107
	frame	data/chars/Dudley/jump02.gif
	offset	20 88
	bbox	9 7 39 76
	frame	data/chars/Dudley/jump03.gif
	offset	20 83
	frame	data/chars/Dudley/jump04.gif
	offset	20 78
	frame	data/chars/Dudley/jump05.gif
	offset	20 75
	frame	data/chars/Dudley/jump06.gif
	offset	20 76
	frame	data/chars/Dudley/jump07.gif
	offset	20 79
	frame	data/chars/Dudley/jump08.gif
	offset	20 84
	frame	data/chars/Dudley/jump09.gif
	offset	20 100
	frame	data/chars/Dudley/jump10.gif
	offset	20 113
	bbox	20 6 32 106
	frame	data/chars/Dudley/jump11.gif
	offset	31 120
	bbox	26 4 29 117
	frame	data/chars/Dudley/jump12.gif

anim	fall
	landframe	4
	Delay	13
	OffSet	47 106
	Frame	data\chars\dudley\fall00.gif
	OffSet	69 82
	Frame	data\chars\dudley\fall01.gif
	OffSet	70 67
	Frame	data\chars\dudley\fall02.gif
	Delay	70
	OffSet	70 57
	Frame	data\chars\dudley\fall03.gif
	OffSet	86 33
	Frame	data\chars\dudley\fall04.gif

anim	fall7
	delay	800
	offset	43 100
	frame	data/chars/Dudley/pain200.gif
	offset	69 26
	frame	data/chars/Dudley/fall02.gif
	OffSet	82 84
	Frame	data\chars\dudley\fallr.gif
	offset	86 33
	frame	data/chars/Dudley/fall04.gif

anim	pain
	cancel	1 3 0 f freespecial5
	delay	7
	offset	43 98
	bbox	18 5 41 96
	frame	data/chars/Dudley/pain100.gif
	offset	51 110
	bbox	14 12 45 95
	frame	data/chars/Dudley/pain101.gif
	delay	15
	offset	58 101
	frame	data/chars/Dudley/pain102.gif
	delay	8
	offset	51 110
	frame	data/chars/Dudley/pain101.gif

anim	pain2
	cancel	1 3 0 f freespecial5
	Delay	8
	OffSet	43 100
	BBox	23 7 42 90
	Frame	data\chars\dudley\pain200.gif
	OffSet	51 102
	BBox	21 4 47 102
	Frame	data\chars\dudley\pain201.gif
	Delay	16
	OffSet	54 106
	BBox	15 3 43 109
	Frame	data\chars\dudley\pain202.gif
	Delay	8
	OffSet	43 100
	BBox	23 7 42 90
	Frame	data\chars\dudley\pain200.gif

anim	rise
	delay	10
	offset	67 45
	frame	data/chars/Dudley/rise00.gif
	offset	50 48
	frame	data/chars/Dudley/rise01.gif
	offset	45 52
	frame	data/chars/Dudley/rise02.gif
	offset	45 51
	frame	data/chars/Dudley/rise03.gif
	offset	46 70
	frame	data/chars/Dudley/rise04.gif

Anim	attackdown
	jumpframe	0 0 0 1
	Delay	6
	OffSet	56 66
	Frame	data\chars\dudley\roll00.gif
	OffSet	38 52
	Frame	data\chars\dudley\roll06.gif
	OffSet	34 52
	Frame	data\chars\dudley\roll07.gif
	OffSet	30 56
	Frame	data\chars\dudley\roll08.gif
	OffSet	34 61
	Frame	data\chars\dudley\roll01.gif
	OffSet	42 54
	Frame	data\chars\dudley\roll02.gif
	OffSet	38 59
	Frame	data\chars\dudley\roll03.gif
	OffSet	34 58
	Frame	data\chars\dudley\roll04.gif

anim	attackup
	delay	6
	#@cmd	dasher 0 0 -1
	OffSet	34 58
	Frame	data\chars\dudley\roll04.gif
	OffSet	38 59
	Frame	data\chars\dudley\roll03.gif
	OffSet	42 54
	Frame	data\chars\dudley\roll02.gif
	OffSet	34 61
	Frame	data\chars\dudley\roll01.gif
	OffSet	30 56
	Frame	data\chars\dudley\roll08.gif
	OffSet	34 52
	Frame	data\chars\dudley\roll07.gif
	OffSet	38 52
	Frame	data\chars\dudley\roll06.gif
	delay	10
	#@cmd	stop
	OffSet	46 76
	Frame	data\chars\dudley\roll208.gif

anim	grabbed
	delay	8
	offset	43 100
	bbox	23 7 42 90
	frame	data/chars/Dudley/pain200.gif

anim	grab
	cancel	0 1 0 d u a freespecial2
	delay	1000
	offset	43 102
	bbox	29 5 37 100
	frame	data/chars/Dudley/grab.gif

anim	grabattack
	delay	4
	offset	49 93
	bbox	23 8 52 82
	frame	data/chars/Dudley/gat100.gif
	offset	49 93
	frame	data/chars/Dudley/gat101.gif
	offset	54 93
	frame	data/chars/Dudley/gat102.gif
	offset	53 93
	frame	data/chars/Dudley/gat103.gif
	offset	46 93
	frame	data/chars/Dudley/gat104.gif
	offset	38 97
	hitfx	data/sounds/bukk.wav
	hitflash	qflash
	Attack2	43 19 61 37 9 0 0 0 20
	frame	data/chars/Dudley/gat105.gif
	offset	41 96
	Attack	0
	frame	data/chars/Dudley/gat106.gif
	offset	46 95
	frame	data/chars/Dudley/gat107.gif
	offset	48 93
	frame	data/chars/Dudley/gat108.gif

anim	grabattack2
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash2
	Delay	4
	OffSet	57 90
	BBox	44 6 48 86
	Frame	data\chars\dudley\gat200.gif
	Frame	data\chars\dudley\gat201.gif
	OffSet	55 97
	Frame	data\chars\dudley\gat202.gif
	OffSet	56 97
	Frame	data\chars\dudley\gat203.gif
	OffSet	55 95
	Frame	data\chars\dudley\gat204.gif
	OffSet	53 93
	Attack	87 22 45 51 17 1 0 0 30
	Frame	data\chars\dudley\gat205.gif
	OffSet	53 91
	Attack	0
	Frame	data\chars\dudley\gat206.gif
	OffSet	53 90
	Frame	data\chars\dudley\gat207.gif
	OffSet	53 89
	Frame	data\chars\dudley\gat208.gif

anim	grabbackward
	attackone	0
	sound	data/chars/Dudley/at3.wav
	#@cmd	lock
	#@cmd	slamStart
	#@cmd	position 0 67 0 0 -1
	delay	4
	offset	50 80
	frame	data/chars/Dudley/spc00.gif
	offset	50 81
	frame	data/chars/Dudley/spc01.gif
	frame	data/chars/Dudley/spc02.gif
	offset	50 77
	frame	data/chars/Dudley/spc03.gif
	#@cmd	position 0 75 0 0 -1
	offset	50 67
	frame	data/chars/Dudley/spc04.gif
	#@cmd	position 0 89 0 0 -1
	offset	50 49
	frame	data/chars/Dudley/spc05.gif
	#@cmd	position 0 85 0 0 -1
	offset	50 51
	frame	data/chars/Dudley/spc06.gif
	offset	50 52
	frame	data/chars/Dudley/spc07.gif
	#@cmd	position 0 67 0 0 -1
	offset	50 55
	frame	data/chars/Dudley/spc08.gif
	#@cmd	position 0 60 0 0 -1
	offset	50 71
	frame	data/chars/Dudley/spc09.gif
	#@cmd	position 1 70 30 0 -1
	offset	50 84
	frame	data/chars/Dudley/spc10.gif
	offset	50 104
	#@cmd	position 1 80 100 0 -1
	frame	data/chars/Dudley/spc11.gif
	#@cmd	position 1 0 110 0 -1
	offset	59 127
	Attack	0
	frame	data/chars/Dudley/spc12.gif
	#@cmd	throw 19 3 3 0 1
	offset	58 125
	frame	data/chars/Dudley/spc13.gif
	offset	47 122
	frame	data/chars/Dudley/spc14.gif
	offset	50 99
	frame	data/chars/Dudley/spc15.gif
	offset	50 87
	frame	data/chars/Dudley/spc16.gif
	#@cmd	makeInv 50
	offset	50 84
	frame	data/chars/Dudley/spc17.gif

anim	grabdown
	attackone	0
	sound	data/chars/Dudley/at3.wav
	delay	4
	offset	50 80
	frame	data/chars/Dudley/spc00.gif
	offset	50 81
	frame	data/chars/Dudley/spc01.gif
	frame	data/chars/Dudley/spc02.gif
	offset	50 77
	frame	data/chars/Dudley/spc03.gif
	offset	50 67
	frame	data/chars/Dudley/spc04.gif
	offset	50 49
	frame	data/chars/Dudley/spc05.gif
	offset	50 51
	frame	data/chars/Dudley/spc06.gif
	offset	50 52
	Attack	0
	frame	data/chars/Dudley/spc07.gif
	offset	50 55
	frame	data/chars/Dudley/spc08.gif
	offset	50 71
	frame	data/chars/Dudley/spc09.gif
	offset	50 84
	frame	data/chars/Dudley/spc10.gif
	offset	50 104
	attack3	69 2 120 104 5 1 1
	dropv	4 0
	frame	data/chars/Dudley/spc11.gif
	offset	59 127
	Attack	0
	frame	data/chars/Dudley/spc12.gif
	offset	58 125
	frame	data/chars/Dudley/spc13.gif
	offset	47 122
	frame	data/chars/Dudley/spc14.gif
	offset	50 99
	frame	data/chars/Dudley/spc15.gif
	offset	50 87
	frame	data/chars/Dudley/spc16.gif
	offset	50 84
	frame	data/chars/Dudley/spc17.gif

anim	jumpattack
	sound	data/chars/Dudley/at2.wav
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash
	delay	3
	offset	31 109
	bbox	17 7 41 86
	frame	data/chars/Dudley/jat100.gif
	offset	31 113
	frame	data/chars/Dudley/jat101.gif
	offset	31 109
	frame	data/chars/Dudley/jat102.gif
	offset	31 102
	frame	data/chars/Dudley/jat103.gif
	offset	31 98
	bbox	35 4 40 79
	frame	data/chars/Dudley/jat104.gif
	offset	31 90
	Attack	71 14 66 28 23 1 0 0 20
	frame	data/chars/Dudley/jat105.gif
	offset	31 92
	frame	data/chars/Dudley/jat106.gif
	offset	31 95
	Attack	0
	frame	data/chars/Dudley/jat107.gif
	offset	31 99
	frame	data/chars/Dudley/jat108.gif
	offset	31 109
	frame	data/chars/Dudley/jat109.gif

anim	jumpattack2
	sound	data/chars/Dudley/at2.wav
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash
	delay	3
	offset	46 85
	bbox	17 12 67 51
	frame	data/chars/Dudley/jat209.gif
	offset	47 84
	frame	data/chars/Dudley/jat210.gif
	offset	50 82
	bbox	25 10 67 48
	frame	data/chars/Dudley/jat211.gif
	offset	51 76
	frame	data/chars/Dudley/jat212.gif
	offset	55 69
	frame	data/chars/Dudley/jat213.gif
	offset	66 74
	bbox	33 18 82 37
	Attack	67 40 63 31 17 0 0 0 20
	frame	data/chars/Dudley/jat214.gif
	offset	64 69
	frame	data/chars/Dudley/jat215.gif
	Attack	0
	frame	data/chars/Dudley/jat216.gif
	offset	60 73
	frame	data/chars/Dudley/jat217.gif
	offset	54 75
	bbox	28 16 66 37
	frame	data/chars/Dudley/jat218.gif
	offset	46 93
	bbox	31 6 38 73
	frame	data/chars/Dudley/jat219.gif

anim	attack1
	sound	data/chars/Dudley/at4.wav
	delay	3
	offset	44 105
	bbox	26 7 47 98
	frame	data/chars/Dudley/at100.gif
	offset	42 104
	Attack	74 9 62 16 6 0 0 0 10
	frame	data/chars/Dudley/at101.gif
	offset	43 105
	Attack	0
	frame	data/chars/Dudley/at102.gif
	offset	45 105
	frame	data/chars/Dudley/at103.gif
	offset	46 105
	frame	data/chars/Dudley/at104.gif

anim	attack2
	sound	data/chars/Dudley/at1.wav
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash
	delay	3
	offset	42 106
	bbox	31 8 40 98
	frame	data/chars/Dudley/at200.gif
	offset	42 104
	frame	data/chars/Dudley/at201.gif
	offset	42 103
	Attack	78 8 70 19 9 0 0 0 15
	frame	data/chars/Dudley/at202.gif
	Attack	0
	frame	data/chars/Dudley/at203.gif
