name	Urchin
health	100
speed	12
type	enemy
gfxshadow	1
icon	data/chars/urchin/icon.gif
aggression 40
#cantgrab 1
nodieblink 3
falldie	1
diesound data/sounds/die1.wav
palette	data/chars/urchin/pal.gif

alternatepal	data/chars/urchin/testpal.gif
alternatepal	data/chars/urchin/testpal2.gif
#remap	data/chars/ork/walk5.gif	data/chars/ork/pal2.gif
#remap	data/chars/android/stand.gif data/chars/android/alt1.gif
#remap	data/chars/android/stand.gif data/chars/android/alt2.gif
#remap	data/chars/android/stand2.gif data/chars/android/alt11.gif
#remap	data/chars/android/stand2.gif data/chars/android/alt12.gif
#remap	data/chars/android/stand2.gif data/chars/android/alt13.gif

anim idle
	loop	1
	offset  42 93
	bbox 	23 4 54 85
	delay	15
	frame	data/chars/urchin/idle1.gif
	offset  41 100
	frame	data/chars/urchin/idle2.gif
	offset  41 102
	frame	data/chars/urchin/idle3.gif
	offset  43 95
	frame	data/chars/urchin/idle4.gif
	offset  41 102
	frame	data/chars/urchin/idle3.gif
	offset  41 100
	frame	data/chars/urchin/idle2.gif





	
anim walk
	loop	1
	offset  44 91
	bbox 	61 28 94 62
	delay	13
	frame	data/chars/urchin/walk1.gif
	offset  44 90
	frame	data/chars/urchin/walk2.gif
	offset  58 93
	frame	data/chars/urchin/walk3.gif
	offset  53 98
	frame	data/chars/urchin/walk4.gif
	offset  44 102
	frame	data/chars/urchin/walk5.gif
	offset  43 101
	frame	data/chars/urchin/walk6.gif
	offset  42 91
	frame	data/chars/urchin/walk7.gif
	offset  39 90
	frame	data/chars/urchin/walk8.gif
	offset  39 93
	frame	data/chars/urchin/walk9.gif
	offset  57 98
	frame	data/chars/urchin/walk10.gif
	offset  41 103
	frame	data/chars/urchin/walk11.gif
	offset  43 101
	frame	data/chars/urchin/walk12.gif


		
anim pain
	loop	0
	offset	36 91
	delay	4
	bbox	12 10 58 90
	frame	data/chars/urchin/pain1.gif
	offset  46 91
	frame	data/chars/urchin/pain2.gif

	
anim fall
	landframe	4
	loop	0
	offset	61 87
	ATTACK	27 32 82 87 15 1
	bbox	12 10 58 90
	delay	11
	frame	data/chars/urchin/fall1.gif
	offset	62 85
	frame	data/chars/urchin/fall2.gif
	offset	62 103
	delay	120
	frame	data/chars/urchin/fall3.gif
	offset	103 28
	delay	20
	frame	data/chars/urchin/fall4.gif
	frame	data/chars/urchin/fall4.gif



anim rise
	loop	0
	offset	50 73
	delay	16
#	bbox	37 64 72 65
	frame	data/chars/urchin/rise1.gif




anim attack1
	range	0 150
	loop	0
	delay	8
	offset	75 97
	bbox	44 58 63 84
	frame	data/chars/urchin/atk1.gif
	offset	71 96
	frame	data/chars/urchin/atk2.gif
	offset	48 85
	attack	80 0 100 61 20 1
	frame	data/chars/urchin/atk3.gif
	offset	45 87
	frame	data/chars/urchin/atk4.gif
	attack	0 0 0 0 0








	
anim attack2
	range	0 150
	loop	0
	delay	8
	offset	80 130
	bbox	44 58 63 84
	frame	data/chars/urchin/2atk1.gif
	offset	102 103
	frame	data/chars/urchin/2atk2.gif
	offset	71 77
	attack	80 0 100 61 20 1
	frame	data/chars/urchin/2atk3.gif
	offset	88 85
	frame	data/chars/urchin/2atk4.gif
	offset	93 86
	frame	data/chars/urchin/2atk5.gif
	frame	data/chars/urchin/2atk6.gif
	frame	data/chars/urchin/2atk7.gif
	frame	data/chars/urchin/2atk8.gif
	frame	data/chars/urchin/2atk9.gif
	frame	data/chars/urchin/2atk10.gif
	frame	data/chars/urchin/2atk11.gif
	frame	data/chars/urchin/2atk12.gif
	attack	0 0 0 0 0 0



anim death
	loop	0
	delay	17
	offset	158 170
	frame	data/chars/urchin/d1
	frame	data/chars/urchin/d2
	frame	data/chars/urchin/d3
	frame	data/chars/urchin/d4
	frame	data/chars/urchin/d5






	
